19-10-2023 12:21:25.542 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 16628 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 12:21:25.548 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 12:21:38.917 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 14.233 seconds (process running for 16.252)
19-10-2023 13:06:27.471 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 20304 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 13:06:27.477 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 13:06:33.216 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.521 seconds (process running for 7.583)
19-10-2023 13:27:12.905 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 4596 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 13:27:12.915 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 13:27:19.303 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 7.196 seconds (process running for 8.425)
19-10-2023 13:30:00.902 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:30:00.903 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:30:00.904 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:30:00.905 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.createMedication - create new medication ...
19-10-2023 13:30:01.095 [http-nio-8080-exec-3] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:34:34.808 [http-nio-8080-exec-7] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:34:34.808 [http-nio-8080-exec-7] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:34:34.809 [http-nio-8080-exec-7] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:34:34.809 [http-nio-8080-exec-7] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:34:49.444 [http-nio-8080-exec-8] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:34:49.444 [http-nio-8080-exec-8] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:34:49.445 [http-nio-8080-exec-8] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:34:49.446 [http-nio-8080-exec-8] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:35:12.140 [http-nio-8080-exec-9] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:35:12.140 [http-nio-8080-exec-9] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:35:12.141 [http-nio-8080-exec-9] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:35:12.142 [http-nio-8080-exec-9] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:35:26.489 [http-nio-8080-exec-10] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:35:26.490 [http-nio-8080-exec-10] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:35:26.490 [http-nio-8080-exec-10] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:35:26.491 [http-nio-8080-exec-10] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:35:48.652 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:35:48.652 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:35:48.653 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:35:48.653 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - create new medication ...
19-10-2023 13:35:48.657 [http-nio-8080-exec-4] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:38:29.913 [http-nio-8080-exec-6] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:38:29.914 [http-nio-8080-exec-6] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:38:29.914 [http-nio-8080-exec-6] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:38:29.914 [http-nio-8080-exec-6] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:39:07.632 [http-nio-8080-exec-8] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 13:39:07.633 [http-nio-8080-exec-8] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 13:42:28.777 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:42:28.779 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
